neighbourhood_cleansed,latitude,longitude,property_type,room_type,price,number_of_reviews,review_scores_rating
Downtown,42.35145,-71.06461,Entire rental unit,Entire home/apt,139,44,4.02
Jamaica Plain,42.30897,-71.10767,Entire condominium (condo),Entire home/apt,149,8,4.86
Dorchester,42.30372,-71.07226,Private room in rental unit,Private room,33,11,4.64
South Boston Waterfront,42.34864,-71.04869,Entire condominium (condo),Entire home/apt,150,18,4.88
Back Bay,42.34982,-71.09015,Entire rental unit,Entire home/apt,197,153,4.45
Jamaica Plain,42.32184,-71.1134,Entire rental unit,Entire home/apt,200,13,4.77
Fenway,42.34942,-71.0955,Private room in rental unit,Private room,298,2,5
Roxbury,42.30877,-71.08654,Private room in residential home,Private room,50,13,4.77
Roxbury,42.32378,-71.09648,Entire rental unit,Entire home/apt,189,232,4.76
Jamaica Plain,42.31937,-71.10497,Private room in residential home,Private room,188,180,4.87
Dorchester,42.28921,-71.06337,Private room in rental unit,Private room,38,9,4.63
Brighton,42.34091,-71.15012,Entire rental unit,Entire home/apt,120,127,4.85
South End,42.34652,-71.0708,Entire residential home,Entire home/apt,895,0,
South End,42.3428,-71.07836,Entire guest suite,Entire home/apt,225,17,5
North End,42.36538,-71.05159,Entire condominium (condo),Entire home/apt,103,22,4.64
Brighton,42.3454,-71.1532,Private room in loft,Private room,34,12,4.83
North End,42.36732,-71.05202,Private room in guest suite,Private room,99,257,4.88
Downtown,42.35308,-71.06179,Entire rental unit,Entire home/apt,200,0,
Mattapan,42.27178,-71.07731,Entire guest suite,Entire home/apt,57,199,4.76
Chinatown,42.34942,-71.06341,Entire rental unit,Entire home/apt,135,7,4.29
Dorchester,42.30586,-71.07225,Private room in rental unit,Private room,32,10,4.5
Roslindale,42.27995,-71.13042,Private room in residential home,Private room,100,3,5
Dorchester,42.28793,-71.06812,Private room in rental unit,Private room,35,7,4.57
Jamaica Plain,42.31194,-71.11312,Entire residential home,Entire home/apt,175,0,
Jamaica Plain,42.31081,-71.09804,Entire rental unit,Entire home/apt,211,171,4.74
Back Bay,42.35218,-71.08103,Entire rental unit,Entire home/apt,450,0,
Downtown,42.35415,-71.0623,Private room in rental unit,Private room,250,0,
Allston,42.34981,-71.13209,Entire rental unit,Entire home/apt,100,40,4.65
Brighton,42.34079,-71.15367,Private room in rental unit,Private room,55,0,
Back Bay,42.35307,-71.08224,Entire rental unit,Entire home/apt,329,0,
Brighton,42.33933,-71.14815,Private room in rental unit,Private room,60,6,4.83
Downtown,42.36332,-71.05897,Entire condominium (condo),Entire home/apt,80,393,4.87
South End,42.34218,-71.07334,Entire rental unit,Entire home/apt,231,38,5
North End,42.3626,-71.05255,Entire rental unit,Entire home/apt,45,0,
Mission Hill,42.33233,-71.10948,Private room in rental unit,Private room,60,3,4.67
Brighton,42.34504,-71.15406,Private room in loft,Private room,33,15,4.53
Dorchester,42.30536,-71.07221,Private room in residential home,Private room,36,9,4.89
East Boston,42.37032,-71.03974,Entire rental unit,Entire home/apt,115,119,4.82
Roxbury,42.32818,-71.09547,Entire rental unit,Entire home/apt,128,192,4.76
Fenway,42.34753,-71.08956,Shared room in rental unit,Shared room,750,0,
Charlestown,42.38348,-71.07678,Entire rental unit,Entire home/apt,130,63,4.71
Downtown,42.36588,-71.0613,Entire rental unit,Entire home/apt,257,11,4.83
Allston,42.3605,-71.12633,Private room in residential home,Private room,52,206,4.79
Back Bay,42.35387,-71.07619,Entire rental unit,Entire home/apt,281,12,4.9
South End,42.33726,-71.07787,Private room in rental unit,Private room,61,0,
Roslindale,42.28244,-71.13115,Entire rental unit,Entire home/apt,125,44,4.82
South Boston,42.33118,-71.0535,Private room in residential home,Private room,65,11,4.91
North End,42.36718,-71.05657,Entire condominium (condo),Entire home/apt,175,3,5
Fenway,42.34626,-71.09049,Entire rental unit,Entire home/apt,243,157,4.83
Roxbury,42.32647,-71.09557,Entire rental unit,Entire home/apt,200,18,4.29
Jamaica Plain,42.31486,-71.1144,Entire rental unit,Entire home/apt,99,69,4.84
Brighton,42.35019,-71.16056,Private room in residential home,Private room,50,11,4.18
Mattapan,42.27644,-71.07681,Private room in residential home,Private room,95,42,4.64
